Analyzing  GM
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1864'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/charles_marion_russell'}, u'name': {u'type': u'literal', u'value': u'Charles Marion Russell'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1899'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/howard_leonard_reedy'}, u'name': {u'type': u'literal', u'value': u'Leonard Howard Reedy'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1847'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/farny_fran_henry_ois'}, u'name': {u'type': u'literal', u'value': u'Henry Fran\ufffdois Farny'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1942'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/gonske_walt'}, u'name': {u'type': u'literal', u'value': u'Walt Gonske'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1825'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/caton_richard_sr_woodville'}, u'name': {u'type': u'literal', u'value': u'Richard Caton Woodville Sr.'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1863'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/frederick_macmonnies_william'}, u'name': {u'type': u'literal', u'value': u'Frederick William MacMonnies'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1941'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/antowine_warrior'}, u'name': {u'type': u'literal', u'value': u'Antowine Warrior'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1868'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bert_geer_phillips'}, u'name': {u'type': u'literal', u'value': u'Bert Geer Phillips'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1957'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bobby_c_martin'}, u'name': {u'type': u'literal', u'value': u'Bobby C. Martin'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1821'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/browne_john_ross'}, u'name': {u'type': u'literal', u'value': u'John Ross Browne'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1863'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ferris_gerome_jean_leon'}, u'name': {u'type': u'literal', u'value': u'Jean Leon Gerome Ferris'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1860'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ernest_seton_thompson'}, u'name': {u'type': u'literal', u'value': u'Ernest Thompson Seton'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1824'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bartas_newman_p'}, u'name': {u'type': u'literal', u'value': u'Bartas P. Newman'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1879'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/julian_martinez'}, u'name': {u'type': u'literal', u'value': u'Julian Martinez'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1951'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/fisher_gelineau'}, u'name': {u'type': u'literal', u'value': u'Gelineau Fisher'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1960'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/nez_redwing_t'}, u'name': {u'type': u'literal', u'value': u'Redwing T. Nez'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1911'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/garver_jr_lincoln_william'}, u'name': {u'type': u'literal', u'value': u'William Lincoln Garver Jr.'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1862'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/arthur_bowen_davies'}, u'name': {u'type': u'literal', u'value': u'Arthur Bowen Davies'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1951'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/connie_ragan_seabourn'}, u'name': {u'type': u'literal', u'value': u'Connie Seabourn Ragan'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1832'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/colman_samuel'}, u'name': {u'type': u'literal', u'value': u'Samuel Colman'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1833'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/david_james_smillie'}, u'name': {u'type': u'literal', u'value': u'James David Smillie'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1882'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ethel_traphagen'}, u'name': {u'type': u'literal', u'value': u'Ethel Traphagen'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1820'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/durrie_george_henry'}, u'name': {u'type': u'literal', u'value': u'George Henry Durrie'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1958'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/akers_norman'}, u'name': {u'type': u'literal', u'value': u'Norman Akers'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1858'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/hauser_john'}, u'name': {u'type': u'literal', u'value': u'John Hauser'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1830'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/grozelier_leopold'}, u'name': {u'type': u'literal', u'value': u'Leopold Grozelier'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1852'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/schouler_willard'}, u'name': {u'type': u'literal', u'value': u'Willard Schouler'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1865'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/borglum_hannibal_solon'}, u'name': {u'type': u'literal', u'value': u'Solon Hannibal Borglum'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1936'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/john_nieto'}, u'name': {u'type': u'literal', u'value': u'John Nieto'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1798'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ferdinand_pettrich'}, u'name': {u'type': u'literal', u'value': u'Ferdinand Pettrich'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1926'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/e_james_reynolds'}, u'name': {u'type': u'literal', u'value': u'James E. Reynolds'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1882'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bellows_george_wesley'}, u'name': {u'type': u'literal', u'value': u'George Wesley Bellows'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1842'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/paul_rogers_william'}, u'name': {u'type': u'literal', u'value': u'William Paul Rogers'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1902'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/romando_vigil'}, u'name': {u'type': u'literal', u'value': u'Vigil Romando'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1897'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/curry_john_steuart'}, u'name': {u'type': u'literal', u'value': u'John Steuart Curry'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1829'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/dirk_elten_hendrik_kruseman_van'}, u'name': {u'type': u'literal', u'value': u'Hendrik Dirk Kruseman van Elten'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1851'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/levi_prentice_wells'}, u'name': {u'type': u'literal', u'value': u'Levi Wells Prentice'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1855'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/cronau_daniel_ludwig_rudolf'}, u'name': {u'type': u'literal', u'value': u'Rudolf Daniel Ludwig Cronau'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1734'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/george_romney'}, u'name': {u'type': u'literal', u'value': u'George Romney'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1808'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/antoine_etex'}, u'name': {u'type': u'literal', u'value': u'Antoine Etex'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1904'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/covarrubias_miguel'}, u'name': {u'type': u'literal', u'value': u'Miguel Covarrubias'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1823'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/cropsey_francis_jasper'}, u'name': {u'type': u'literal', u'value': u'Jasper Francis Cropsey'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1870'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/adolph_alexander_weinman'}, u'name': {u'type': u'literal', u'value': u'Adolph Alexander Weinman'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1831'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/alexander_stuart'}, u'name': {u'type': u'literal', u'value': u'Alexander Stuart'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1761'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/brown_mather'}, u'name': {u'type': u'literal', u'value': u'Mather Brown'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1945'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/kent_ullberg'}, u'name': {u'type': u'literal', u'value': u'Kent Ullberg'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1793'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/john_stevens'}, u'name': {u'type': u'literal', u'value': u'John Stevens'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1796'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/john_neagle'}, u'name': {u'type': u'literal', u'value': u'John Neagle'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1834'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/abbott_james_mcneill_whistler'}, u'name': {u'type': u'literal', u'value': u'James Abbott McNeill Whistler'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1934'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/alan_richard_schmid'}, u'name': {u'type': u'literal', u'value': u'Richard Alan Schmid'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1942'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bill_owen'}, u'name': {u'type': u'literal', u'value': u'Bill Owen'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1816'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/frederick_john_kensett'}, u'name': {u'type': u'literal', u'value': u'John Frederick Kensett'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1837'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/edward_george_perine'}, u'name': {u'type': u'literal', u'value': u'George Edward Perine'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1805'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/hiram_powers'}, u'name': {u'type': u'literal', u'value': u'Hiram Powers'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1775'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/benjamin_tanner'}, u'name': {u'type': u'literal', u'value': u'Benjamin Tanner'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1883'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/clemente_jos_orozco'}, u'name': {u'type': u'literal', u'value': u'Jos\ufffd Clemente Orozco'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1934'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/leah_qumaluk'}, u'name': {u'type': u'literal', u'value': u'Leah Qumaluk'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1755'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/charles_gilbert_stuart'}, u'name': {u'type': u'literal', u'value': u'Gilbert Charles Stuart'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1880'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/johnson_samuel_woolf'}, u'name': {u'type': u'literal', u'value': u'Samuel Johnson Woolf'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1850'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/gaylord_sangston_truesdell'}, u'name': {u'type': u'literal', u'value': u'Gaylord Sangston Truesdell'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1775'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/joseph_mallord_turner_william'}, u'name': {u'type': u'literal', u'value': u'Joseph Mallord William Turner'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1854'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/henry_raschen'}, u'name': {u'type': u'literal', u'value': u'Henry Raschen'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1919'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/guillermo_meza'}, u'name': {u'type': u'literal', u'value': u'Guillermo Meza'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1879'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/aaron_may_todd'}, u'name': {u'type': u'literal', u'value': u'May Todd  Aaron'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1913'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/jackson_lee_nesbitt'}, u'name': {u'type': u'literal', u'value': u'Jackson Lee Nesbitt'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1915'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/henry_reynold_weidenaar'}, u'name': {u'type': u'literal', u'value': u'Reynold Henry Weidenaar'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1824'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/eastman_johnson'}, u'name': {u'type': u'literal', u'value': u'Eastman Johnson'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1813'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/currier_nathaniel'}, u'name': {u'type': u'literal', u'value': u'Nathaniel Currier'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1840'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/barre_goodwin_la_richard'}, u'name': {u'type': u'literal', u'value': u'Richard La Barre Goodwin'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1898'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/carlos_orozco_romero'}, u'name': {u'type': u'literal', u'value': u'Carlos Orozco Romero'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1873'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/chandler_christy_howard'}, u'name': {u'type': u'literal', u'value': u'Howard Chandler Christy'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1902'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/leopoldo_m_ndez'}, u'name': {u'type': u'literal', u'value': u'Leopoldo M\ufffdndez'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1889'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/thomas_vigil'}, u'name': {u'type': u'literal', u'value': u'Thomas Vigil'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1931'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/morrisseau_norval'}, u'name': {u'type': u'literal', u'value': u'Norval Morrisseau'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1928'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/beatien_yazz'}, u'name': {u'type': u'literal', u'value': u'Beatien Yazz'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1751'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ceracchi_giuseppe'}, u'name': {u'type': u'literal', u'value': u'Giuseppe Ceracchi'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1940'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/colin_derriksan_noll'}, u'name': {u'type': u'literal', u'value': u'Noll Colin Derriksan'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1856'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/astley_cooper_david_middleton'}, u'name': {u'type': u'literal', u'value': u'Astley David Middleton Cooper'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1817'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/louis_nagel'}, u'name': {u'type': u'literal', u'value': u'Louis Nagel'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1921'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/c_saul_terry'}, u'name': {u'type': u'literal', u'value': u'C. Terry Saul'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1942'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/kevin_red_star'}, u'name': {u'type': u'literal', u'value': u'Kevin Red Star'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1935'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/loren_pahsetopah'}, u'name': {u'type': u'literal', u'value': u'Loren Pahsetopah'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1770'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/balthazar_charles_de_fevret_julien_m_min_saint'}, u'name': {u'type': u'literal', u'value': u'Charles Balthazar Julien Fevret de Saint-M\ufffdmin'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1894'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/doel_reed'}, u'name': {u'type': u'literal', u'value': u'Doel Reed'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'2000'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/pocahontas_press'}, u'name': {u'type': u'literal', u'value': u'Pocahontas Press'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1901'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/pocahontas_press'}, u'name': {u'type': u'literal', u'value': u'Pocahontas Press'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1901'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/pocahontas_press'}, u'name': {u'type': u'literal', u'value': u'Pocahontas Press'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1813'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/harrison_matteson_tompkins'}, u'name': {u'type': u'literal', u'value': u'Tompkins Harrison Matteson'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1945'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/elie_hazak'}, u'name': {u'type': u'literal', u'value': u'Elie Hazak'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1910'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/caesar_julius'}, u'name': {u'type': u'literal', u'value': u'Julius Caesar'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1841'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/moran_peter'}, u'name': {u'type': u'literal', u'value': u'Peter Moran'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1945'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/boyiddle_jr_parker'}, u'name': {u'type': u'literal', u'value': u'Parker Boyiddle, Jr.'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1909'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ch_jos_morado_vez'}, u'name': {u'type': u'literal', u'value': u'Jos\ufffd Ch\ufffdvez Morado'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1888'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/constance_warren_whitney'}, u'name': {u'type': u'literal', u'value': u'Constance Whitney Warren'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1814'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/john_mix_stanley'}, u'name': {u'type': u'literal', u'value': u'John Mix Stanley'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1862'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/alexander_phimister_proctor'}, u'name': {u'type': u'literal', u'value': u'Alexander Phimister Proctor'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1916'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/conrad_schwiering'}, u'name': {u'type': u'literal', u'value': u'Conrad Schwiering'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1887'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/hans_kleiber'}, u'name': {u'type': u'literal', u'value': u'Hans Kleiber'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1879'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/johnson_joseph_ray'}, u'name': {u'type': u'literal', u'value': u'Joseph Johnson Ray'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1905'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/hunt_robe_wolf'}, u'name': {u'type': u'literal', u'value': u'Wolf Robe Hunt'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1930'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/morris_rippel'}, u'name': {u'type': u'literal', u'value': u'Morris Rippel'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1854'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ridgway_w'}, u'name': {u'type': u'literal', u'value': u'W. Ridgway'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1723'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/joshua_reynolds'}, u'name': {u'type': u'literal', u'value': u'Joshua Reynolds'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1752'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/robert_smirke'}, u'name': {u'type': u'literal', u'value': u'Robert Smirke'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1889'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/benton_hart_thomas'}, u'name': {u'type': u'literal', u'value': u'Thomas Hart Benton'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1807'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/mount_sidney_william'}, u'name': {u'type': u'literal', u'value': u'Mount, William Sidney'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1958'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/howard_norma'}, u'name': {u'type': u'literal', u'value': u'Norma Howard'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1756'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/john_trumbull'}, u'name': {u'type': u'literal', u'value': u'John Trumbull'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1816'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/c_coates_edmund'}, u'name': {u'type': u'literal', u'value': u'Edmund C. Coates'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1866'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/albert_groll_lorey'}, u'name': {u'type': u'literal', u'value': u'Albert Lorey Groll'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1815'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/cornelius_krieghoff'}, u'name': {u'type': u'literal', u'value': u'Cornelius Krieghoff'}}
